Проверка	          Результат	Комментарии
Операции с файлами	  ok	
Создание файла	          ok	
Открытие файла	          ok	
Сохранение документа	  ok	
Печать	                  ok	
Редактирование файлов	                bugs	
Отмена	                  ok	
Копирование	          ok	
Вырезание	          ok	
Вставка	                  ok	
Удаление	          ok	
Поиск	                  fail	        bug #123
Поиск с заменой	          fail	        bug #126
Вставка даты	          ok	
Форматирование	          ok	
Перенос строки	          ok	
Изменение шрифта	  ok	
Справка	                  ok	
